type,id,from,to
link,1,38,80
link,2,96,19
link,3,74,78
link,4,16,45
link,5,16,10
link,6,6,46
link,7,87,34
link,8,61,15
link,9,71,66
link,10,3,6
link,11,97,73
link,12,84,94
link,13,22,1
link,14,19,100
link,15,19,62
link,16,31,62
link,17,53,1
link,18,44,3
link,19,30,53
link,20,62,40
link,21,14,5
link,22,30,98
link,23,37,24
link,24,46,10
link,25,79,62
link,26,20,39
link,27,52,99
link,28,60,47
link,29,5,86
link,30,61,69
link,31,18,46
link,32,7,2
link,33,97,57
link,34,81,39
link,35,31,2
link,36,10,24
link,37,69,25
link,38,45,69
link,39,13,61
link,40,50,84
link,41,4,18
link,42,91,40
link,43,26,19
link,44,67,76
link,45,32,43
link,46,53,21
link,47,55,57
link,48,19,4
link,49,97,85
link,50,78,45
link,51,94,40
link,52,90,93
link,53,60,73
link,54,93,33
link,55,9,58
link,56,20,53
link,57,5,97
link,58,33,85
link,59,39,75
link,60,28,54
link,61,83,59
link,62,36,97
link,63,29,61
link,64,55,28
link,65,15,30
link,66,81,17
link,67,8,2
link,68,99,43
link,69,78,40
link,70,20,30
link,71,1,2
link,72,82,20
link,73,71,72
link,74,73,80
link,75,78,61
link,76,8,93
link,77,36,66
link,78,12,92
link,79,87,86
link,80,63,45
link,81,34,10
link,82,7,38
link,83,32,67
link,84,33,67
link,85,73,60
link,86,64,28
link,87,89,57
link,88,48,39
link,89,12,98
link,90,72,85
link,91,77,73
link,92,57,24
link,93,78,26
link,94,50,5
link,95,53,72
link,96,43,12
link,97,3,44
link,98,11,21
link,99,4,90
link,100,64,48
link,101,32,57
link,102,51,70
link,103,91,14
link,104,25,61
link,105,42,54
link,106,76,21
link,107,23,95
link,108,8,60
link,109,29,70
link,110,17,89
link,111,93,63
link,112,81,30
link,113,64,11
link,114,88,46
link,115,81,22
link,116,19,42
link,117,90,89
link,118,54,33
link,119,81,13
link,120,90,36
link,121,32,91
link,122,12,28
link,123,23,65
link,124,43,1
link,125,82,36
link,126,87,31
link,127,1,17
link,128,52,54
link,129,42,49
link,130,23,70
link,131,12,27
link,132,34,25
link,133,95,17
link,134,33,22
link,135,52,56
link,136,71,41
link,137,37,7
link,138,98,26
link,139,97,25
link,140,26,70
link,141,50,72
link,142,31,15
link,143,29,100
link,144,4,27
link,145,61,98
link,146,51,42
link,147,6,4
link,148,28,35
link,149,91,64
link,150,24,69
link,151,15,54
link,152,49,45
link,153,99,56
link,154,25,60
link,155,68,9
link,156,77,37
link,157,24,25
link,158,73,81
link,159,37,48
link,160,64,99
link,161,64,40
link,162,54,82
link,163,10,80
link,164,84,16
link,165,33,51
link,166,19,70
link,167,60,33
link,168,68,23
link,169,2,72
link,170,52,81
link,171,23,35
link,172,65,10
link,173,18,95
link,174,70,40
link,175,39,52
link,176,94,84
link,177,14,68
link,178,35,74
link,179,12,21
link,180,93,55
link,181,88,70
link,182,26,23
link,183,66,18
link,184,82,99
link,185,56,52
link,186,53,27
link,187,25,100
link,188,10,97
link,189,90,56
link,190,91,89
link,191,64,19
link,192,34,28
link,193,35,71
link,194,73,85
link,195,90,86
link,196,89,41
link,197,78,89
link,198,65,86
link,199,9,94
link,200,17,79
link,201,90,67
link,202,61,59
link,203,1,38
link,204,11,95
link,205,67,98
link,206,1,29
link,207,17,31
link,208,55,49
link,209,70,45
link,210,66,100
link,211,23,18
link,212,72,2
link,213,24,50
link,214,33,18
link,215,75,37
link,216,65,75
link,217,85,73
link,218,66,31
link,219,57,55
link,220,10,51
link,221,37,64
link,222,27,26
link,223,25,59
link,224,40,49
link,225,90,91
link,226,64,44
link,227,80,36
link,228,51,65
link,229,58,67
link,230,50,87
link,231,20,24
link,232,73,50
link,233,29,58
link,234,3,77
link,235,65,5
link,236,18,100
link,237,95,47
link,238,96,28
link,239,92,89
link,240,38,75
link,241,2,96
link,242,93,34
link,243,43,56
link,244,97,58
link,245,97,99
link,246,86,8
link,247,30,31
link,248,39,20
link,249,86,27
link,250,32,49
link,251,17,38
link,252,56,40
link,253,94,85
link,254,70,94
link,255,58,8
link,256,10,21
link,257,62,68
link,258,100,36
link,259,15,26
link,260,52,30
link,261,88,33
link,262,75,85
link,263,70,14
link,264,36,56
link,265,81,42
link,266,82,26
link,267,87,62
link,268,92,9
link,269,52,1
link,270,51,63
link,271,80,20
link,272,65,8
link,273,71,40
link,274,80,6
link,275,34,3
link,276,38,58
link,277,10,44
link,278,58,68
link,279,4,33
link,280,47,16
link,281,55,99
link,282,29,84
link,283,60,87
link,284,4,26
link,285,83,31
link,286,37,54
link,287,13,33
link,288,53,83
link,289,77,28
link,290,22,97
link,291,63,46
link,292,9,85
link,293,6,20
link,294,54,42
link,295,55,70
link,296,64,14
link,297,73,14
link,298,98,97
link,299,52,72
link,300,33,5
link,301,80,40
link,302,28,44
link,303,44,75
link,304,8,26
link,305,3,19
link,306,97,9
link,307,84,43
link,308,70,69
link,309,41,6
link,310,18,92
link,311,26,24
link,312,55,10
link,313,72,19
link,314,67,94
link,315,28,64
link,316,96,52
link,317,74,66
link,318,56,44
link,319,62,74
link,320,42,5
link,321,25,57
link,322,36,16
link,323,76,13
link,324,2,35
link,325,12,10
link,326,5,10
link,327,5,32
link,328,86,98
link,329,71,18
link,330,48,2
link,331,10,77
link,332,50,81
link,333,48,35
link,334,18,47
link,335,44,65
link,336,40,5
link,337,62,95
link,338,64,89
link,339,5,27
link,340,38,2
link,341,63,94
link,342,86,54
link,343,66,69
link,344,17,62
link,345,8,95
link,346,65,95
link,347,3,87
link,348,59,64
link,349,95,81
link,350,39,58
link,351,65,13
link,352,46,82
link,353,55,83
link,354,95,63
link,355,39,83
link,356,97,66
link,357,91,21
link,358,20,28
link,359,7,22
link,360,11,38
link,361,2,4
link,362,10,62
link,363,69,34
link,364,8,66
link,365,32,39
link,366,85,69
link,367,3,35
link,368,82,27
link,369,29,50
link,370,12,70
link,371,70,35
link,372,88,4
link,373,74,42
link,374,81,97
link,375,29,55
link,376,18,43
link,377,76,57
link,378,81,58
link,379,100,74
link,380,42,13
link,381,38,26
link,382,78,59
link,383,35,87
link,384,94,57
link,385,86,24
link,386,43,68
link,387,76,74
link,388,76,24
link,389,91,54
link,390,51,50
link,391,83,39
link,392,33,30
link,393,90,10
link,394,39,6
link,395,91,85
link,396,10,36
link,397,32,96
link,398,96,68
link,399,96,49
link,400,58,50
link,401,64,9
link,402,45,10
link,403,30,61
link,404,33,56
link,405,68,22
link,406,76,95
link,407,80,79
link,408,79,12
link,409,10,94
link,410,50,98
link,411,6,100
link,412,55,6
link,413,45,74
link,414,89,55
link,415,36,71
link,416,12,97
link,417,15,69
link,418,77,84
link,419,62,87
link,420,11,84
link,421,9,43
link,422,71,23
link,423,8,40
link,424,83,90
link,425,71,15
link,426,9,52
link,427,9,24
link,428,99,59
link,429,38,87
link,430,38,89
link,431,82,24
link,432,95,91
link,433,99,60
link,434,76,36
link,435,38,71
link,436,9,49
link,437,78,38
link,438,56,71
link,439,43,25
link,440,91,34
link,441,12,44
link,442,50,26
link,443,2,41
link,444,47,58
link,445,6,75
link,446,12,77
link,447,12,83
link,448,75,69
link,449,59,24
link,450,97,41
link,451,38,48
link,452,29,9
link,453,87,53
link,454,23,44
link,455,97,81
link,456,2,98
link,457,97,56
link,458,5,33
link,459,90,5
link,460,53,93
link,461,100,92
link,462,56,70
