vehicle,path
1,24-1
2,12-3-47
3,36-61-7-30
4,29-50-5-86
5,30-33-72
6,24-25-59
7,5-17-38-28
8,2-4-5-92
9,99-14-5
10,43-25-11
11,39-40
12,68-76-13
13,22-1-2-96
14,95-80
15,79-62-26
16,9-59
17,42-49-99
18,88-80-8-89
19,95-80-1-61
20,47-63-22-91
21,62-26-19-99
22,17-38-75
23,100-75-7
24,24-42-41
25,95-42-13-84
26,65-10-24
27,61-78-84
28,52-46-13
29,24-42-5
30,18-47-39
31,23-4
32,19-96
33,78-26-83
34,36-32-81
35,6-20-63
36,97-81-22
37,89-57-9-52
38,93-38-2-60
39,100-92-53
40,18-4-27
41,40-56-52
42,76-24-50
43,70-74-100
44,16-37-90
45,82-46-13-47
46,23-95-63
47,23-44-75
48,54-4
49,60-4-90
50,59-28-87
51,10-44-46
52,88-70-40
53,27-17-38-28
54,13-38-48
55,89-41-4-5
56,96-28-17-86
57,87-6-4
58,81-13-33
59,66-18-61-94
60,56-54-74
61,9-24-1-29
62,41-4-26
63,38-28-1
64,26-70
65,73-14-5
66,50-87-8-54
67,9-10-97
68,23-35-11
69,69-28-90
70,8-66-100
71,86-24-25-7
72,50-17-89
73,49-33-56-52
74,60-26-22-91
75,83-39-58
76,35-87-32-67
77,68-9-55
78,57-72-87
79,27-74
80,88-46-53
81,80-54-87
82,66-69-25
83,86-8-36-16
84,87-1-17
85,71-72-19-34
86,84-19-9-24
87,70-94
88,69-25-11
89,62-26-70
90,76-74-19
91,16-38-89
92,89-55-10-97
93,88-60-47
94,3-19-88
95,83-59-24-1
96,13-54-82
97,34-21-11-23
98,75-7-22-91
99,17-86-24-1
100,82-36-56
101,84-16-76
102,51-50-26
103,1-38-80-20
104,29-9
105,62-5-33
106,99-56
107,64-11-34-12
108,26-7-38
109,64-28-1
110,54-82
111,78-38-37-13
112,11-87-1-29
113,77-28-2
114,55-10-44
115,97-85
116,35-71-40
117,64-23-18
118,94-88-76
119,11-95-17-79
120,94-88-4-18
121,69-25-78
122,7-40-95
123,31-42-5-17
124,71-41-78
125,7-38-71
126,59-64-48
127,35-55-6
128,63-55-6-8
129,5-86
130,88-100
131,98-43-68
132,97-99-34-45
133,75-44-65
134,14-65-60
135,76-24-20-39
136,3-43-25-7
137,3-35-83
138,33-85-38
139,49-99-46-82
140,78-26
141,69-1
142,45-36-16
143,28-35-47
144,100-92-8-95
145,43-25-11
146,46-5-86
147,17-89-43-53
148,80-67-83
149,70-30
150,23-35-11-84
151,9-74-78
152,69-34-10-24
153,66-73-14
154,28-87
155,96-19-97
156,16-41-4
157,44-57-9-74
158,95-91
159,42-5-86
160,64-19-97
161,40-56-77
162,28-84-16-45
163,99-14-5-32
164,41-4-33
165,90-85-73
166,23-44-75
167,22-91-21
168,4-38-87
169,66-50-72
170,37-24-57
171,87-53-48
172,48-35-55
173,97-8-36-16
174,19-4-21
175,87-34-10
176,78-84-16
177,78-61-15-46
178,85-57-9-54
179,77-28-2
180,63-70-80
181,14-70-30
182,4-5-92
183,93-12-97
184,62-26-19
185,80-76-13-47
186,49-24-1
187,12-28-2-60
188,13-61
189,69-25
190,44-3-56
191,21-11-23
192,50-17
193,7-2-4-66
194,59-23-4-33
195,27-26-60
196,80-79-12-44
197,32-49-99
198,46-53-2-15
199,2-35-47
200,8-40-69
201,48-2-98
202,61-7-2-73
203,30-62-74-66
204,70-80-76
205,87-32-96
206,78-26-22-91
207,4-18-73
208,49-65-75
209,11-38-2-15
210,25-11
211,99-40-58
212,15-69-1-2
213,50-35-49
214,62-26-22
215,71-23-35
216,56-41-78
217,1-17-62-95
218,33-18-6-8
219,52-54
220,9-6-8-89
221,36-92-9
222,4-5-83
223,8-36
224,40-5-33
225,14-70-30-98
226,57-9-10-21
227,69-34-70
228,81-17-83
229,21-90-5
230,17-14-68
231,11-38-2-96
232,64-44-3-13
233,71-18-4-90
234,4-26-60
235,94-14-62
236,6-4-10-62
237,55-7-30
238,71-81-9-94
239,88-76-95
240,72-19-34-63
241,81-79
242,34-10-62
243,82-49
244,9-58-67
245,90-56
246,55-99-60
247,82-27-17-79
248,46-13-49
249,65-5
250,53-17
251,74-64-44
252,9-24-73
253,7-2-60
254,25-8-66
255,16-37-48
256,88-19-62
257,22-9-49-33
258,98-26-50-48
259,34-3-6-75
260,19-88
261,79-12-44
262,66-50-5
263,50-17
264,56-44-3
265,72-2-4-66
266,23-35-34
267,100-75-7-55
268,98-26-50
269,66-100-19-9
270,20-23-41
271,69-25-11-23
272,8-40-42
273,4-21
274,26-60-85
275,47-4-18
276,87-56-97
277,73-42
278,75-85
279,43-20-63
280,35-74
281,38-93-3-77
282,99-40-51
283,5-92-9-55
284,87-56-52
285,58-25-59
286,44-3
287,73-78-40
288,49-65-61
289,88-60
290,91-14-80
291,43-8-66
292,28-87-6-100
293,60-47-29
294,92-8-36
295,22-9-59-39
296,63-35-47
297,64-11-84
298,74-49-24
299,14-17-38-78
300,72-2-41
301,91-73-61
302,18-61-64
303,24-1-38
304,98-97-9-52
305,19-42
306,86-24-25-7
307,50-5-10-44
308,25-60-4-10
309,88-16-41
310,45-69-60
311,52-81-58
312,36-32-67
313,60-4-10
314,17-19-4-66
315,40-5-32
316,97-8-40
317,26-14-5-86
318,66-69-1
319,33-56-59
320,78-26-60
321,14-62-40
322,97-9-24
323,46-10-24
324,24-25-8-89
325,8-36-16-45
326,17-19-34
327,52-99-34-45
328,34-70-33-67
329,83-31-15
330,44-87-34-45
331,25-59
332,62-95
