timestamp,road_id,congestion_level,congestion_coefficient,road_condition_factor,travel_time_minutes,expected_travel_time
2024-01-15 00:00:00,0,0,0.0833,1300.0,2.22,1.8
2024-01-15 01:00:00,0,0,0.1333,1360.0,2.41,1.8
2024-01-15 02:00:00,0,0,0.0958,1315.0,2.31,1.8
2024-01-15 03:00:00,0,0,0.1062,1327.5,2.33,1.8
2024-01-15 04:00:00,0,0,0.1365,1363.75,2.44,1.8
2024-01-15 05:00:00,0,0,0.1719,1406.25,2.45,1.8
2024-01-15 06:00:00,0,0,0.0865,1303.75,2.07,1.8
2024-01-15 07:00:00,0,2,0.574,1888.75,6.7,1.8
2024-01-15 08:00:00,0,1,0.3938,1672.5,4.52,1.8
2024-01-15 09:00:00,0,1,0.4562,1747.5,2.89,1.8
2024-01-15 10:00:00,0,3,0.8792,2255.0,3.22,1.8
2024-01-15 11:00:00,0,3,0.9594,2351.25,2.59,1.8
2024-01-15 12:00:00,0,3,0.925,2310.0,2.17,1.8
2024-01-15 13:00:00,0,4,1.325,2790.0,4.06,1.8
2024-01-15 14:00:00,0,4,1.5542,3065.0,4.23,1.8
2024-01-15 15:00:00,0,4,1.8083,3370.0,4.4,1.8
2024-01-15 16:00:00,0,4,1.9958,3595.0,3.19,1.8
2024-01-15 17:00:00,0,4,2.0,3600.0,5.48,1.8
2024-01-15 18:00:00,0,4,2.0,3600.0,5.0,1.8
2024-01-15 19:00:00,0,4,2.0,3600.0,3.95,1.8
2024-01-15 20:00:00,0,4,2.0,3600.0,5.27,1.8
2024-01-15 21:00:00,0,4,2.0,3600.0,2.39,1.8
2024-01-15 22:00:00,0,4,2.0,3600.0,2.18,1.8
2024-01-15 23:00:00,0,4,2.0,3600.0,2.68,1.8
2024-01-16 00:00:00,0,4,2.0,3600.0,2.33,1.8
2024-01-16 01:00:00,0,4,2.0,3600.0,2.31,1.8
2024-01-16 02:00:00,0,4,2.0,3600.0,2.56,1.8
2024-01-16 03:00:00,0,4,2.0,3600.0,1.9,1.8
2024-01-16 04:00:00,0,4,2.0,3600.0,2.29,1.8
2024-01-16 05:00:00,0,4,2.0,3600.0,2.26,1.8
2024-01-16 06:00:00,0,4,2.0,3600.0,2.59,1.8
2024-01-16 07:00:00,0,4,2.0,3600.0,3.16,1.8
2024-01-16 08:00:00,0,4,2.0,3600.0,3.1,1.8
2024-01-16 09:00:00,0,4,2.0,3600.0,4.44,1.8
2024-01-16 10:00:00,0,4,2.0,3600.0,6.1,1.8
2024-01-16 11:00:00,0,4,2.0,3600.0,2.31,1.8
2024-01-16 12:00:00,0,4,2.0,3600.0,2.08,1.8
2024-01-16 13:00:00,0,4,2.0,3600.0,3.07,1.8
2024-01-16 14:00:00,0,4,2.0,3600.0,4.19,1.8
2024-01-16 15:00:00,0,4,2.0,3600.0,2.33,1.8
2024-01-16 16:00:00,0,4,2.0,3600.0,3.8,1.8
2024-01-16 17:00:00,0,4,2.0,3600.0,6.02,1.8
2024-01-16 18:00:00,0,4,2.0,3600.0,4.72,1.8
2024-01-16 19:00:00,0,4,2.0,3600.0,4.99,1.8
2024-01-16 20:00:00,0,4,2.0,3600.0,7.87,1.8
2024-01-16 21:00:00,0,4,2.0,3600.0,2.04,1.8
2024-01-16 22:00:00,0,4,2.0,3600.0,2.27,1.8
2024-01-16 23:00:00,0,4,2.0,3600.0,2.07,1.8
2024-01-17 00:00:00,0,4,2.0,3600.0,2.56,1.8
2024-01-17 01:00:00,0,4,2.0,3600.0,1.83,1.8
2024-01-17 02:00:00,0,4,2.0,3600.0,2.78,1.8
2024-01-17 03:00:00,0,4,2.0,3600.0,2.13,1.8
2024-01-17 04:00:00,0,4,2.0,3600.0,2.57,1.8
2024-01-17 05:00:00,0,4,2.0,3600.0,1.94,1.8
2024-01-17 06:00:00,0,4,2.0,3600.0,2.81,1.8
2024-01-17 07:00:00,0,4,2.0,3600.0,4.65,1.8
2024-01-17 08:00:00,0,4,2.0,3600.0,4.82,1.8
2024-01-17 09:00:00,0,4,2.0,3600.0,4.78,1.8
2024-01-17 10:00:00,0,4,2.0,3600.0,4.0,1.8
2024-01-17 11:00:00,0,4,2.0,3600.0,3.11,1.8
2024-01-17 12:00:00,0,4,2.0,3600.0,3.41,1.8
2024-01-17 13:00:00,0,4,2.0,3600.0,4.03,1.8
2024-01-17 14:00:00,0,4,2.0,3600.0,4.52,1.8
2024-01-17 15:00:00,0,4,2.0,3600.0,4.65,1.8
2024-01-17 16:00:00,0,4,2.0,3600.0,1.89,1.8
2024-01-17 17:00:00,0,4,2.0,3600.0,2.97,1.8
2024-01-17 18:00:00,0,4,2.0,3600.0,5.04,1.8
2024-01-17 19:00:00,0,4,2.0,3600.0,4.1,1.8
2024-01-17 20:00:00,0,4,2.0,3600.0,4.42,1.8
2024-01-17 21:00:00,0,4,2.0,3600.0,2.24,1.8
2024-01-17 22:00:00,0,4,2.0,3600.0,2.31,1.8
2024-01-17 23:00:00,0,4,2.0,3600.0,2.55,1.8
2024-01-18 00:00:00,0,4,2.0,3600.0,2.05,1.8
2024-01-18 01:00:00,0,4,2.0,3600.0,1.95,1.8
2024-01-18 02:00:00,0,4,2.0,3600.0,2.2,1.8
2024-01-18 03:00:00,0,4,2.0,3600.0,2.33,1.8
2024-01-18 04:00:00,0,4,2.0,3600.0,2.81,1.8
2024-01-18 05:00:00,0,4,2.0,3600.0,2.25,1.8
2024-01-18 06:00:00,0,4,2.0,3600.0,2.81,1.8
2024-01-18 07:00:00,0,4,2.0,3600.0,5.3,1.8
2024-01-18 08:00:00,0,4,2.0,3600.0,7.94,1.8
2024-01-18 09:00:00,0,4,2.0,3600.0,8.41,1.8
2024-01-18 10:00:00,0,4,2.0,3600.0,5.2,1.8
2024-01-18 11:00:00,0,4,2.0,3600.0,2.9,1.8
2024-01-18 12:00:00,0,4,2.0,3600.0,3.44,1.8
2024-01-18 13:00:00,0,4,2.0,3600.0,3.16,1.8
2024-01-18 14:00:00,0,4,2.0,3600.0,3.37,1.8
2024-01-18 15:00:00,0,4,2.0,3600.0,2.6,1.8
2024-01-18 16:00:00,0,4,2.0,3600.0,4.34,1.8
2024-01-18 17:00:00,0,4,2.0,3600.0,6.09,1.8
2024-01-18 18:00:00,0,4,2.0,3600.0,6.42,1.8
2024-01-18 19:00:00,0,4,2.0,3600.0,3.52,1.8
2024-01-18 20:00:00,0,4,2.0,3600.0,7.7,1.8
2024-01-18 21:00:00,0,4,2.0,3600.0,2.29,1.8
2024-01-18 22:00:00,0,4,2.0,3600.0,2.62,1.8
2024-01-18 23:00:00,0,4,2.0,3600.0,2.09,1.8
2024-01-19 00:00:00,0,4,2.0,3600.0,1.91,1.8
2024-01-19 01:00:00,0,4,2.0,3600.0,2.42,1.8
2024-01-19 02:00:00,0,4,2.0,3600.0,2.01,1.8
2024-01-19 03:00:00,0,4,2.0,3600.0,2.01,1.8
2024-01-19 04:00:00,0,4,2.0,3600.0,1.96,1.8
2024-01-19 05:00:00,0,4,2.0,3600.0,2.39,1.8
2024-01-19 06:00:00,0,4,2.0,3600.0,2.03,1.8
2024-01-19 07:00:00,0,4,2.0,3600.0,4.23,1.8
2024-01-19 08:00:00,0,4,2.0,3600.0,2.37,1.8
2024-01-19 09:00:00,0,4,2.0,3600.0,4.19,1.8
2024-01-19 10:00:00,0,4,2.0,3600.0,4.15,1.8
2024-01-19 11:00:00,0,4,2.0,3600.0,2.09,1.8
2024-01-19 12:00:00,0,4,2.0,3600.0,2.72,1.8
2024-01-19 13:00:00,0,4,2.0,3600.0,2.47,1.8
2024-01-19 14:00:00,0,4,2.0,3600.0,1.8,1.8
2024-01-19 15:00:00,0,4,2.0,3600.0,1.88,1.8
2024-01-19 16:00:00,0,4,2.0,3600.0,1.88,1.8
2024-01-19 17:00:00,0,4,2.0,3600.0,1.97,1.8
2024-01-19 18:00:00,0,4,2.0,3600.0,1.98,1.8
2024-01-19 19:00:00,0,4,2.0,3600.0,3.68,1.8
2024-01-19 20:00:00,0,4,2.0,3600.0,4.04,1.8
2024-01-19 21:00:00,0,4,2.0,3600.0,2.43,1.8
2024-01-19 22:00:00,0,4,2.0,3600.0,1.84,1.8
2024-01-19 23:00:00,0,4,2.0,3600.0,1.88,1.8
2024-01-20 00:00:00,0,4,2.0,3600.0,2.14,1.8
2024-01-20 01:00:00,0,4,2.0,3600.0,2.04,1.8
2024-01-20 02:00:00,0,4,2.0,3600.0,2.81,1.8
2024-01-20 03:00:00,0,4,2.0,3600.0,2.11,1.8
2024-01-20 04:00:00,0,4,2.0,3600.0,2.45,1.8
2024-01-20 05:00:00,0,4,2.0,3600.0,2.0,1.8
2024-01-20 06:00:00,0,4,2.0,3600.0,1.95,1.8
2024-01-20 07:00:00,0,4,2.0,3600.0,2.07,1.8
2024-01-20 08:00:00,0,4,2.0,3600.0,2.26,1.8
2024-01-20 09:00:00,0,4,2.0,3600.0,1.89,1.8
2024-01-20 10:00:00,0,4,2.0,3600.0,3.23,1.8
2024-01-20 11:00:00,0,4,2.0,3600.0,1.93,1.8
2024-01-20 12:00:00,0,4,2.0,3600.0,2.33,1.8
2024-01-20 13:00:00,0,4,2.0,3600.0,2.04,1.8
2024-01-20 14:00:00,0,4,2.0,3600.0,1.93,1.8
2024-01-20 15:00:00,0,4,2.0,3600.0,2.2,1.8
2024-01-20 16:00:00,0,4,2.0,3600.0,2.75,1.8
2024-01-20 17:00:00,0,4,2.0,3600.0,4.28,1.8
2024-01-20 18:00:00,0,4,2.0,3600.0,3.26,1.8
2024-01-20 19:00:00,0,4,2.0,3600.0,2.77,1.8
2024-01-20 20:00:00,0,4,2.0,3600.0,1.93,1.8
2024-01-20 21:00:00,0,4,2.0,3600.0,2.34,1.8
2024-01-20 22:00:00,0,4,2.0,3600.0,2.07,1.8
2024-01-20 23:00:00,0,4,2.0,3600.0,2.34,1.8
2024-01-21 00:00:00,0,4,2.0,3600.0,1.82,1.8
2024-01-21 01:00:00,0,4,2.0,3600.0,2.3,1.8
2024-01-21 02:00:00,0,4,2.0,3600.0,1.96,1.8
2024-01-21 03:00:00,0,4,2.0,3600.0,2.73,1.8
