pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-1-5-9,420.59,5-9,513.73,1,YES,0.5053,1.0488,0.7727
1,0,7,0-1-5-6-7,475.00,0-1-5-6-7,495.18,0,YES,0.6549,3.4812,0.6930
2,0,3,0-1-2-3,370.00,0-1-2-3,412.70,0,YES,0.7703,2.9438,0.9546
3,1,8,1-5-8,252.50,5-8,279.67,1,YES,1.0493,2.5644,0.8317
4,1,9,1-5-9,305.59,1-5-9,318.58,0,YES,1.3167,2.5101,0.6129
5,2,8,2-6-9-8,374.17,9-8,402.65,1,YES,0.5611,4.5152,0.5002
6,2,9,2-6-9,272.50,2-6-9,278.32,0,YES,0.5920,1.7387,0.5763
7,3,9,3-2-6-9,372.50,6-9,379.17,1,YES,0.7821,3.5037,0.9466
8,4,7,4-5-6-7,369.17,4-5-6-7,367.17,0,YES,1.4069,3.6633,0.5594
9,4,9,4-8-9,319.75,8-9,317.58,1,YES,0.5636,3.7110,0.6919
10,5,9,5-9,193.09,5-9,211.40,0,YES,1.4720,2.9413,0.9323
11,6,9,6-5-8-9,385.83,8-9,417.93,1,YES,1.2552,3.4359,0.7667
12,7,0,7-3-2-1-0,432.50,7-3-2-1-0,470.51,0,YES,1.3842,1.3797,0.7683
13,7,9,7-6-9,267.50,6-9,294.25,1,YES,0.5870,2.3421,0.9448
14,8,1,8-5-1,212.50,8-5-1,217.97,0,YES,0.6149,3.0247,0.5166
15,9,0,9-8-4-0,350.59,4-0,358.89,1,YES,1.0268,4.5210,0.9729
16,9,3,9-6-7-3,372.50,9-6-7-3,359.28,0,YES,0.9959,3.6937,0.7442
