pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-1-5-9,420.59,0-1-5-9,420.09,0,YES,0.6632,2.3138,0.5898
1,0,7,0-1-5-6-7,475.00,5-6-7,493.55,1,YES,0.5558,4.6962,0.7161
2,0,3,0-1-2-3,370.00,1-2-3,380.17,1,YES,1.2772,4.9441,0.6760
3,1,8,1-5-8,252.50,1-5-8,285.74,0,YES,1.0636,3.0923,0.8602
4,1,9,1-5-9,305.59,1-5-9,347.56,0,YES,0.8386,2.4169,0.6035
5,2,8,2-1-5-8,362.50,2-1-5-8,430.75,0,YES,1.4152,2.1822,0.8286
6,2,9,2-6-9,272.50,6-9,317.28,1,YES,1.2208,1.5263,0.6542
7,3,9,3-2-6-9,372.50,3-2-6-9,381.60,0,YES,0.8314,4.1023,0.5991
8,4,7,4-5-6-7,369.17,5-6-7,368.14,1,YES,1.1690,3.3088,0.9301
9,4,9,4-5-9,314.75,4-5-9,343.33,0,YES,1.0726,2.3035,0.5416
10,5,9,5-9,193.09,5-9,213.75,0,YES,1.1421,3.1103,0.6035
11,6,9,6-9,152.50,6-9,161.77,0,YES,0.5197,2.1630,0.6613
12,7,0,7-3-2-1-0,432.50,7-3-2-1-0,442.37,0,YES,1.3918,3.6318,0.7588
13,7,9,7-6-9,267.50,7-6-9,275.46,0,YES,0.6766,4.2462,0.5696
14,8,1,8-5-1,212.50,8-5-1,218.32,0,YES,1.1326,4.1103,0.7103
15,9,0,9-8-4-0,350.59,9-8-4-0,363.13,0,YES,0.6107,1.6890,0.7609
16,9,3,9-6-2-3,337.50,9-6-2-3,341.58,0,YES,1.3077,4.1661,0.7497
