pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-4-8-9,486.00,4-5-9,520.15,1,YES,1.1908,2.2464,0.9029
1,0,7,0-1-5-6-7,500.50,0-1-5-6-7,531.91,0,YES,1.0301,3.5601,0.8421
2,0,3,0-1-2-3,382.00,1-2-3,455.50,1,YES,0.7543,4.9519,0.7646
3,1,8,1-5-8,266.00,1-5-8,306.69,0,YES,0.5942,1.0319,0.9423
4,1,9,1-5-9,314.59,1-5-9,358.73,0,YES,1.3458,2.5293,0.8055
5,2,8,2-1-5-8,376.00,5-8,453.53,1,YES,1.1954,4.8069,0.6116
6,2,9,2-6-9,295.00,2-6-9,328.02,0,YES,0.7917,4.1906,0.8722
7,3,9,3-2-6-9,395.00,3-2-6-9,421.80,0,YES,1.1364,3.8387,0.5212
8,4,7,4-5-6-7,379.67,5-6-7,392.50,1,YES,0.8241,1.0695,0.6634
9,4,9,4-5-9,314.75,5-9,370.67,1,YES,0.9206,1.4732,0.7014
10,5,9,5-9,193.09,5-9,199.82,0,YES,1.2542,2.5451,0.5416
11,6,9,6-9,170.50,6-9,179.65,0,YES,0.7937,3.9489,0.7826
12,7,0,7-3-2-1-0,432.50,7-3-2-1-0,457.99,0,YES,0.9800,1.1058,0.9163
13,7,9,7-6-9,291.50,7-6-9,339.72,0,YES,1.3799,3.6579,0.5679
14,8,1,8-4-5-1,370.59,8-4-5-1,426.41,0,YES,1.1011,3.9327,0.8099
15,9,0,9-8-4-0,359.09,9-8-4-0,381.34,0,YES,1.4836,1.2752,0.9059
16,9,3,9-6-7-3,378.50,9-6-7-3,370.95,0,YES,1.2249,1.2494,0.7993
