pair_idx,source,destination,vehicle_cat,reroute_iterations,reroute_time_ms,energy_proxy,success,final_cost,reroute_path
0,0,9,Truck,100,3.9140,0.0039,NO,0.00,
1,0,9,Bus,100,2.5270,0.0025,NO,0.00,
2,0,9,Car/Micro,100,5.0700,0.0051,YES,490.00,0-1-2-6-9
14,1,8,Car/Micro,100,6.8960,0.0069,YES,475.00,1-2-6-9-8
16,1,9,Truck,100,1.8100,0.0018,NO,0.00,
17,1,9,Bus,100,2.3780,0.0024,NO,0.00,
20,2,8,Truck,100,1.0570,0.0011,NO,0.00,
21,2,8,Bus,100,2.5970,0.0026,NO,0.00,
24,2,9,Truck,100,2.1610,0.0022,NO,0.00,
25,2,9,Bus,100,2.1080,0.0021,NO,0.00,
28,3,9,Truck,100,3.3200,0.0033,NO,0.00,
29,3,9,Bus,100,3.8390,0.0038,NO,0.00,
36,4,9,Truck,100,1.8410,0.0018,NO,0.00,
37,4,9,Bus,100,2.0540,0.0021,NO,0.00,
38,4,9,Car/Micro,100,5.2050,0.0052,YES,632.50,4-5-1-2-6-9
39,4,9,Rick/Van/Bike,100,5.0580,0.0051,YES,419.17,4-5-8-9
40,5,9,Truck,100,2.6100,0.0026,NO,0.00,
41,5,9,Bus,100,3.0550,0.0031,NO,0.00,
42,5,9,Car/Micro,100,5.2950,0.0053,YES,492.50,5-1-2-6-9
44,6,9,Truck,100,2.5660,0.0026,NO,0.00,
45,6,9,Bus,100,3.1680,0.0032,NO,0.00,
52,7,9,Truck,100,3.6090,0.0036,NO,0.00,
53,7,9,Bus,100,3.6460,0.0036,NO,0.00,
