pair_id,source,destination,step,cur_node,event,best_cost,ar,path
0,0,9,0,1,TRIGGER_KEPT,420.59,132.91,0-1-5-9
0,0,9,1,5,TRIGGER_KEPT,420.59,256.40,0-1-5-9
0,0,9,2,9,OK,420.59,420.09,0-1-5-9
1,0,7,0,1,TRIGGER_KEPT,475.00,122.60,0-1-5-6-7
1,0,7,1,5,REROUTE,498.70,255.36,5-6-7
1,0,7,2,6,OK,498.70,382.38,5-6-7
1,0,7,3,7,OK,498.70,493.55,5-6-7
2,0,3,0,1,REROUTE,382.55,129.67,1-2-3
2,0,3,1,2,TRIGGER_KEPT,382.55,280.17,1-2-3
2,0,3,2,3,OK,382.55,380.17,1-2-3
3,1,8,0,5,OK,252.50,117.19,1-5-8
3,1,8,1,8,OK,252.50,285.74,1-5-8
4,1,9,0,5,TRIGGER_KEPT,305.59,123.09,1-5-9
4,1,9,1,9,OK,305.59,347.56,1-5-9
5,2,8,0,1,TRIGGER_KEPT,362.50,121.12,2-1-5-8
5,2,8,1,5,OK,362.50,241.30,2-1-5-8
5,2,8,2,8,OK,362.50,430.75,2-1-5-8
6,2,9,0,6,REROUTE,305.62,131.72,6-9
6,2,9,1,9,OK,305.62,317.28,6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,OK,372.50,222.60,3-2-6-9
7,3,9,2,9,OK,372.50,381.60,3-2-6-9
8,4,7,0,5,REROUTE,375.16,128.36,5-6-7
8,4,7,1,6,OK,375.16,257.48,5-6-7
8,4,7,2,7,OK,375.16,368.14,5-6-7
9,4,9,0,5,OK,314.75,125.66,4-5-9
9,4,9,1,9,OK,314.75,343.33,4-5-9
10,5,9,0,9,OK,193.09,213.75,5-9
11,6,9,0,9,OK,152.50,161.77,6-9
12,7,0,0,3,OK,432.50,118.80,7-3-2-1-0
12,7,0,1,2,OK,432.50,218.80,7-3-2-1-0
12,7,0,2,1,OK,432.50,331.33,7-3-2-1-0
12,7,0,3,0,OK,432.50,442.37,7-3-2-1-0
13,7,9,0,6,TRIGGER_KEPT,267.50,122.24,7-6-9
13,7,9,1,9,OK,267.50,275.46,7-6-9
14,8,1,0,5,OK,212.50,114.14,8-5-1
14,8,1,1,1,OK,212.50,218.32,8-5-1
15,9,0,0,8,OK,350.59,103.71,9-8-4-0
15,9,0,1,4,OK,350.59,253.30,9-8-4-0
15,9,0,2,0,OK,350.59,363.13,9-8-4-0
16,9,3,0,6,OK,337.50,130.09,9-6-2-3
16,9,3,1,2,OK,337.50,241.58,9-6-2-3
16,9,3,2,3,OK,337.50,341.58,9-6-2-3
