from_node,to_node,length_m,lanes,f_current,f_in,f_out,road_class,width_m,road_condition,cat1_allowed,cat2_allowed,cat3_allowed,cat4_allowed,bus_corridor,disruption_prior
0,1,100.0,1,0,5,2,1,9.0,0.08,1,1,1,1,1,0.01
1,0,100.0,1,0,4,3,1,9.0,0.08,1,1,1,1,1,0.0
1,2,100.0,1,3,1,2,2,7.2,0.34,1,1,1,1,0,0.07
2,1,100.0,1,2,1,0,2,7.2,0.34,1,1,1,1,0,0.04
2,3,100.0,2,0,2,3,2,6.7,0.09,1,1,1,1,0,0.1
3,2,100.0,2,1,0,0,2,6.7,0.09,1,1,1,1,0,0.04
4,5,100.0,2,11,9,4,1,11.2,0.44,1,1,1,1,1,0.05
5,4,100.0,2,6,1,2,1,11.2,0.44,1,1,1,1,1,0.03
5,6,100.0,2,18,3,0,1,8.2,0.14,1,1,1,1,1,0.2
6,5,100.0,2,1,0,0,1,8.2,0.14,1,1,1,1,1,0.2
6,7,100.0,3,20,11,2,2,6.7,0.13,1,1,1,1,0,0.03
7,6,100.0,3,2,2,1,2,6.7,0.13,1,1,1,1,0,0.02
8,9,100.0,3,8,7,5,2,7.7,0.47,1,1,1,1,0,0.02
9,8,100.0,3,0,2,3,2,7.7,0.47,1,1,1,1,0,0.03
0,4,100.0,2,18,5,1,2,7.3,0.24,1,1,1,1,0,0.09
4,0,100.0,2,7,1,1,2,7.3,0.24,1,1,1,1,0,0.01
1,5,100.0,2,18,6,6,3,4.7,0.6,0,0,1,1,0,0.01
5,1,100.0,2,7,0,0,3,4.7,0.6,0,0,1,1,0,0.09
2,6,100.0,2,20,2,3,3,5.2,0.23,0,0,1,1,0,0.06
6,2,100.0,2,14,1,2,3,5.2,0.23,0,0,1,1,0,0.09
3,7,100.0,1,10,5,0,3,5.4,0.32,0,0,1,1,0,0.03
7,3,100.0,1,5,0,1,3,5.4,0.32,0,0,1,1,0,0.04
4,8,141.42,3,0,8,8,3,5.5,0.3,0,0,1,1,0,0.15
8,4,141.42,3,1,6,3,3,5.5,0.3,0,0,1,1,0,0.15
5,8,100.0,2,17,8,0,4,3.2,0.29,0,0,0,1,0,0.01
8,5,100.0,2,5,6,4,4,3.2,0.29,0,0,0,1,0,0.02
5,9,141.42,2,28,9,1,2,6.2,0.29,1,1,1,1,1,0.3
9,5,141.42,2,17,2,1,2,6.2,0.29,1,1,1,1,1,0.3
6,9,100.0,2,8,8,9,3,4.8,0.13,0,0,1,1,0,0.05
9,6,100.0,2,5,5,1,3,4.8,0.13,0,0,1,1,0,0.07
