edge_id,start_node,end_node,route_class,estimated_width_px,length_px,added_bridge,polyline_xy
e001,20,21,mini,3.0,8.54,True,"[[133.0, 125.0], [141.0, 128.0]]"
e002,59,55,mini,2.0,11.18,True,"[[694.0, 293.0], [689.0, 283.0]]"
e003,53,58,mini,3.0,12.08,True,"[[656.0, 282.0], [651.0, 293.0]]"
e004,10,8,mini,2.0,12.53,True,"[[488.0, 54.0], [499.0, 48.0]]"
e005,22,18,sub,4.0,13.04,True,"[[615.0, 130.0], [614.0, 117.0]]"
e006,88,78,sub,3.41,13.04,True,"[[723.0, 362.0], [722.0, 349.0]]"
e007,32,30,mini,2.0,19.65,True,"[[270.0, 176.0], [265.0, 157.0]]"
e008,93,96,sub,4.0,12.0,False,"[[801.0, 381.0], [801.0, 393.0]]"
e009,93,27,sub,4.0,240.01,False,"[[801.0, 379.0], [798.0, 223.0], [783.0, 203.0], [777.0, 190.0], [774.0, 151.0]]"
e010,40,47,sub,4.0,23.9,False,"[[364.0, 222.0], [356.0, 242.0]]"
e011,40,39,main,7.21,2.41,False,"[[365.0, 221.0], [367.0, 220.0]]"
e012,40,38,sub,4.0,83.9,False,"[[363.0, 221.0], [343.0, 217.0], [282.0, 220.0]]"
e013,66,61,sub,4.0,7.24,False,"[[414.0, 303.0], [411.0, 297.0]]"
e014,66,62,sub,4.0,5.24,False,"[[416.0, 303.0], [419.0, 299.0]]"
e015,66,99,mini,2.0,93.24,False,"[[415.0, 304.0], [418.0, 334.0], [418.0, 396.0]]"
e016,62,81,sub,4.47,79.71,False,"[[421.0, 299.0], [429.0, 304.0], [474.0, 355.0]]"
e017,62,41,sub,4.0,66.24,False,"[[420.0, 295.0], [420.0, 252.0], [423.0, 230.0]]"
e018,62,61,sub,4.0,7.0,False,"[[419.0, 296.0], [412.0, 296.0]]"
e019,69,72,sub,4.0,16.83,False,"[[586.0, 330.0], [570.0, 330.0]]"
e020,69,85,sub,4.0,29.66,False,"[[587.0, 331.0], [591.0, 359.0]]"
e021,69,48,sub,4.0,85.41,False,"[[588.0, 328.0], [589.0, 243.0]]"
e022,69,74,sub,4.0,29.66,False,"[[589.0, 329.0], [610.0, 329.0], [617.0, 333.0]]"
e023,61,57,sub,4.0,39.9,False,"[[410.0, 296.0], [400.0, 291.0], [373.0, 291.0]]"
e024,25,21,link,5.0,3.41,False,"[[142.0, 131.0], [141.0, 128.0]]"
e025,25,37,sub,4.0,202.58,False,"[[143.0, 132.0], [169.0, 171.0], [191.0, 219.0], [197.0, 225.0], [220.0, 223.0], [277.0, 211.0]]"
