pair_id,source,destination,vehicle_cat,step,cur_node,event,best_cost,ar,path
0,0,9,0,0,4,TRIGGER_KEPT,526.42,166.05,0-4-5-9
0,0,9,0,1,5,TRIGGER_KEPT,526.42,340.84,0-4-5-9
0,0,9,0,2,9,OK,526.42,634.51,0-4-5-9
1,0,9,1,0,4,TRIGGER_KEPT,526.42,163.92,0-4-5-9
1,0,9,1,1,5,REROUTE,632.02,330.52,5-9
1,0,9,1,2,9,OK,632.02,652.82,5-9
2,0,9,2,0,0,REROUTE,161.39,161.39,0-1-2-6-9
2,0,9,2,1,0,REROUTE,309.34,309.34,0-4-8-9
2,0,9,2,2,0,REROUTE,487.03,487.03,0-1-2-6-9
2,0,9,2,3,0,REROUTE,705.68,705.68,0-4-8-9
2,0,9,2,4,0,REROUTE,907.53,907.53,0-1-2-6-9
2,0,9,2,5,0,REROUTE,1230.94,1230.94,0-4-8-9
2,0,9,2,6,0,REROUTE,1443.66,1443.66,0-1-2-6-9
2,0,9,2,7,0,REROUTE,1903.03,1903.03,0-4-8-9
2,0,9,2,8,0,REROUTE,2122.62,2122.62,0-1-2-6-9
2,0,9,2,9,0,REROUTE,2735.15,2735.15,0-4-8-9
2,0,9,2,10,0,REROUTE,2971.10,2971.10,0-1-2-6-9
2,0,9,2,11,0,REROUTE,3652.09,3652.09,0-4-8-9
2,0,9,2,12,0,REROUTE,3909.57,3909.57,0-1-2-6-9
2,0,9,2,13,0,REROUTE,4654.36,4654.36,0-4-8-9
2,0,9,2,14,0,REROUTE,4945.28,4945.28,0-1-2-6-9
2,0,9,2,15,0,REROUTE,5742.42,5742.42,0-4-8-9
2,0,9,2,16,0,REROUTE,6064.71,6064.71,0-1-2-6-9
2,0,9,2,17,0,REROUTE,6908.26,6908.26,0-4-8-9
2,0,9,2,18,0,REROUTE,7273.12,7273.12,0-1-2-6-9
2,0,9,2,19,0,REROUTE,8177.01,8177.01,0-4-8-9
3,0,9,3,0,0,REROUTE,165.55,165.55,0-1-2-6-9
3,0,9,3,1,0,REROUTE,303.84,303.84,0-4-8-9
3,0,9,3,2,0,REROUTE,505.22,505.22,0-1-2-6-9
3,0,9,3,3,0,REROUTE,693.53,693.53,0-4-8-9
3,0,9,3,4,0,REROUTE,915.07,915.07,0-1-2-6-9
3,0,9,3,5,0,REROUTE,1163.63,1163.63,0-4-8-9
3,0,9,3,6,0,REROUTE,1396.53,1396.53,0-1-2-6-9
3,0,9,3,7,0,REROUTE,1680.95,1680.95,0-4-8-9
3,0,9,3,8,0,REROUTE,1922.79,1922.79,0-1-2-6-9
3,0,9,3,9,0,REROUTE,2223.88,2223.88,0-4-8-9
3,0,9,3,10,0,REROUTE,2469.71,2469.71,0-1-2-6-9
3,0,9,3,11,0,REROUTE,2805.06,2805.06,0-4-8-9
3,0,9,3,12,0,REROUTE,3052.21,3052.21,0-1-2-6-9
3,0,9,3,13,0,REROUTE,3409.29,3409.29,0-4-8-9
3,0,9,3,14,0,REROUTE,3656.82,3656.82,0-1-2-6-9
3,0,9,3,15,0,REROUTE,4037.82,4037.82,0-4-8-9
3,0,9,3,16,0,REROUTE,4286.09,4286.09,0-1-2-6-9
3,0,9,3,17,0,REROUTE,4701.27,4701.27,0-4-8-9
3,0,9,3,18,0,REROUTE,4950.55,4950.55,0-1-2-6-9
3,0,9,3,19,0,REROUTE,5410.37,5410.37,0-4-8-9
4,0,7,0,0,4,TRIGGER_KEPT,595.83,167.78,0-4-5-6-7
4,0,7,0,1,5,OK,595.83,310.97,0-4-5-6-7
4,0,7,0,2,6,REROUTE,667.82,482.03,6-7
4,0,7,0,3,7,OK,667.82,669.15,6-7
5,0,7,1,0,4,REROUTE,640.29,160.95,4-5-6-7
5,0,7,1,1,5,OK,640.29,307.36,4-5-6-7
5,0,7,1,2,6,TRIGGER_KEPT,640.29,482.06,4-5-6-7
5,0,7,1,3,7,OK,640.29,695.15,4-5-6-7
6,0,7,2,0,1,REROUTE,559.60,142.30,1-2-6-7
6,0,7,2,1,2,OK,559.60,248.81,1-2-6-7
6,0,7,2,2,6,OK,559.60,393.04,1-2-6-7
6,0,7,2,3,7,OK,559.60,583.62,1-2-6-7
7,0,7,3,0,1,TRIGGER_KEPT,500.00,123.94,0-1-2-3-7
7,0,7,3,1,2,REROUTE,556.17,223.94,2-3-7
7,0,7,3,2,3,OK,556.17,323.94,2-3-7
7,0,7,3,3,7,OK,556.17,600.31,2-3-7
8,0,3,0,0,1,TRIGGER_KEPT,325.00,127.30,0-1-2-3
8,0,3,0,1,2,OK,325.00,227.30,0-1-2-3
8,0,3,0,2,3,OK,325.00,327.30,0-1-2-3
9,0,3,1,0,1,REROUTE,331.15,120.26,1-2-3
9,0,3,1,1,2,OK,331.15,233.18,1-2-3
9,0,3,1,2,3,OK,331.15,333.18,1-2-3
10,0,3,2,0,1,TRIGGER_KEPT,325.00,141.96,0-1-2-3
10,0,3,2,1,2,OK,325.00,241.96,0-1-2-3
10,0,3,2,2,3,OK,325.00,343.22,0-1-2-3
11,0,3,3,0,1,TRIGGER_KEPT,325.00,141.52,0-1-2-3
11,0,3,3,1,2,OK,325.00,248.58,0-1-2-3
11,0,3,3,2,3,OK,325.00,353.14,0-1-2-3
12,1,8,0,0,0,TRIGGER_KEPT,731.42,120.24,1-0-4-5-9-8
12,1,8,0,1,4,TRIGGER_KEPT,731.42,306.47,1-0-4-5-9-8
12,1,8,0,2,5,TRIGGER_KEPT,731.42,532.63,1-0-4-5-9-8
12,1,8,0,3,9,TRIGGER_KEPT,731.42,857.71,1-0-4-5-9-8
12,1,8,0,4,8,OK,731.42,958.42,1-0-4-5-9-8
13,1,8,1,0,0,TRIGGER_KEPT,731.42,119.78,1-0-4-5-9-8
13,1,8,1,1,4,TRIGGER_KEPT,731.42,284.56,1-0-4-5-9-8
13,1,8,1,2,5,TRIGGER_KEPT,731.42,444.07,1-0-4-5-9-8
13,1,8,1,3,9,TRIGGER_KEPT,731.42,720.23,1-0-4-5-9-8
13,1,8,1,4,8,OK,731.42,820.23,1-0-4-5-9-8
14,1,8,2,0,5,OK,398.92,143.87,1-5-4-8
14,1,8,2,1,4,OK,398.92,255.33,1-5-4-8
14,1,8,2,2,8,OK,398.92,406.88,1-5-4-8
15,1,8,3,0,5,OK,307.50,144.72,1-5-8
15,1,8,3,1,8,OK,307.50,346.75,1-5-8
16,1,9,0,0,0,REROUTE,669.97,110.78,0-4-5-9
16,1,9,0,1,4,REROUTE,699.21,272.24,4-5-9
16,1,9,0,2,5,REROUTE,717.81,443.07,5-9
16,1,9,0,3,9,OK,717.81,731.63,5-9
17,1,9,1,0,0,REROUTE,678.58,115.51,0-4-5-9
17,1,9,1,1,4,REROUTE,714.61,297.43,4-5-9
17,1,9,1,2,5,REROUTE,730.24,424.44,5-9
17,1,9,1,3,9,OK,730.24,750.21,5-9
18,1,9,2,0,5,OK,415.00,140.57,1-5-6-9
18,1,9,2,1,6,REROUTE,419.03,309.30,6-9
18,1,9,2,2,9,OK,419.03,414.74,6-9
19,1,9,3,0,2,OK,375.00,105.43,1-2-6-9
19,1,9,3,1,6,OK,375.00,249.51,1-2-6-9
19,1,9,3,2,9,OK,375.00,368.32,1-2-6-9
20,2,8,0,0,1,TRIGGER_KEPT,846.42,121.37,2-1-0-4-5-9-8
20,2,8,0,1,0,OK,846.42,221.37,2-1-0-4-5-9-8
20,2,8,0,2,4,REROUTE,1012.36,429.01,4-5-9-8
20,2,8,0,3,5,REROUTE,1052.33,633.18,5-9-8
20,2,8,0,4,9,REROUTE,1074.59,972.37,9-8
20,2,8,0,5,8,OK,1074.59,1075.23,9-8
