pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-1-5-9,437.09,1-5-9,513.94,1,YES,0.8714,1.4169,0.6529
1,0,7,0-1-5-6-7,491.50,0-1-5-6-7,509.05,0,YES,0.6013,4.1844,0.8293
2,0,3,0-1-2-3,400.00,2-3,445.68,2,YES,0.7674,2.5464,0.8010
3,1,8,1-0-4-8,448.92,1-0-4-8,446.60,0,YES,1.3784,2.1864,0.9811
4,1,9,1-5-9,310.09,1-5-9,360.82,0,YES,0.6866,2.4089,0.8032
5,2,8,2-6-5-8,391.00,2-6-5-8,435.70,0,YES,1.2416,4.5018,0.7139
6,2,9,2-6-9,290.50,2-6-9,309.56,0,YES,1.0449,1.1232,0.7011
7,3,9,3-2-6-9,390.50,6-9,432.91,1,YES,0.9857,1.7840,0.8029
8,4,7,4-5-6-7,369.17,5-6-7,364.12,1,YES,0.9124,1.9577,0.7902
9,4,9,4-5-9,314.75,4-5-9,368.13,0,YES,1.4116,1.4834,0.6969
10,5,9,5-9,193.09,5-9,203.24,0,YES,0.6072,2.9338,0.6597
11,6,9,6-9,166.00,6-9,184.92,0,YES,0.6332,2.2600,0.5833
12,7,0,7-3-2-1-0,432.50,1-0,464.12,1,YES,1.3160,3.9752,0.5557
13,7,9,7-6-9,287.00,7-6-9,302.02,0,YES,1.2843,1.0112,0.7061
14,8,1,8-5-1,212.50,8-5-1,214.65,0,YES,0.9422,3.1666,0.9839
15,9,0,9-8-4-0,359.59,4-0,380.97,1,YES,0.6766,1.0897,0.5797
16,9,3,9-6-7-3,372.50,9-6-7-3,360.44,0,YES,1.3737,1.2152,0.6174
