pair_id,source,destination,step,cur_node,event,best_cost,ar,path
0,0,9,0,1,TRIGGER_KEPT,420.59,127.57,0-1-5-9
0,0,9,1,5,TRIGGER_KEPT,420.59,266.38,0-1-5-9
0,0,9,2,9,OK,420.59,502.82,0-1-5-9
1,0,7,0,1,TRIGGER_KEPT,475.00,129.79,0-1-5-6-7
1,0,7,1,5,OK,475.00,250.14,0-1-5-6-7
1,0,7,2,6,OK,475.00,375.81,0-1-5-6-7
1,0,7,3,7,OK,475.00,488.25,0-1-5-6-7
2,0,3,0,1,REROUTE,396.44,138.44,1-2-3
2,0,3,1,2,TRIGGER_KEPT,396.44,311.23,1-2-3
2,0,3,2,3,OK,396.44,411.23,1-2-3
3,1,8,0,5,REROUTE,269.61,122.11,5-8
3,1,8,1,8,OK,269.61,274.12,5-8
4,1,9,0,5,REROUTE,342.49,119.34,5-9
4,1,9,1,9,OK,342.49,369.02,5-9
5,2,8,0,1,TRIGGER_KEPT,362.50,101.58,2-1-5-8
5,2,8,1,5,TRIGGER_KEPT,362.50,233.14,2-1-5-8
5,2,8,2,8,OK,362.50,393.82,2-1-5-8
6,2,9,0,6,TRIGGER_KEPT,272.50,127.82,2-6-9
6,2,9,1,9,OK,272.50,291.25,2-6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,REROUTE,405.49,230.64,6-9
7,3,9,2,9,OK,405.49,426.12,6-9
8,4,7,0,5,REROUTE,381.84,133.46,5-6-7
8,4,7,1,6,OK,381.84,262.00,5-6-7
8,4,7,2,7,OK,381.84,381.21,5-6-7
9,4,9,0,5,TRIGGER_KEPT,314.75,141.66,4-5-9
9,4,9,1,9,OK,314.75,353.68,4-5-9
10,5,9,0,9,OK,193.09,194.94,5-9
11,6,9,0,5,OK,310.59,120.56,6-5-9
11,6,9,1,9,OK,310.59,317.84,6-5-9
12,7,0,0,3,OK,432.50,116.93,7-3-2-1-0
12,7,0,1,2,OK,432.50,216.93,7-3-2-1-0
12,7,0,2,1,REROUTE,449.20,337.72,1-0
12,7,0,3,0,OK,449.20,451.35,1-0
13,7,9,0,6,TRIGGER_KEPT,267.50,120.49,7-6-9
13,7,9,1,9,OK,267.50,290.65,7-6-9
14,8,1,0,5,OK,212.50,112.72,8-5-1
14,8,1,1,1,OK,212.50,217.55,8-5-1
15,9,0,0,8,OK,350.59,103.96,9-8-4-0
15,9,0,1,4,REROUTE,368.38,257.19,4-0
15,9,0,2,0,OK,368.38,372.30,4-0
16,9,3,0,6,OK,337.50,128.05,9-6-2-3
16,9,3,1,2,TRIGGER_KEPT,337.50,247.97,9-6-2-3
16,9,3,2,3,OK,337.50,347.97,9-6-2-3
0,0,9,0,4,TRIGGER_KEPT,472.25,159.32,0-4-8-9
0,0,9,1,8,TRIGGER_KEPT,472.25,347.15,0-4-8-9
0,0,9,2,9,OK,472.25,457.89,0-4-8-9
1,0,7,0,1,TRIGGER_KEPT,475.00,132.39,0-1-5-6-7
1,0,7,1,5,REROUTE,505.33,260.86,5-6-7
1,0,7,2,6,OK,505.33,388.36,5-6-7
1,0,7,3,7,OK,505.33,505.16,5-6-7
2,0,3,0,1,OK,370.00,119.45,0-1-2-3
2,0,3,1,2,TRIGGER_KEPT,370.00,277.15,0-1-2-3
2,0,3,2,3,OK,370.00,377.15,0-1-2-3
3,1,8,0,5,TRIGGER_KEPT,252.50,123.69,1-5-8
3,1,8,1,8,OK,252.50,284.24,1-5-8
4,1,9,0,5,REROUTE,399.62,117.86,5-8-9
4,1,9,1,8,REROUTE,411.38,284.75,8-9
4,1,9,2,9,OK,411.38,410.46,8-9
5,2,8,0,6,REROUTE,395.09,127.31,6-9-8
5,2,8,1,9,TRIGGER_KEPT,395.09,314.59,6-9-8
5,2,8,2,8,OK,395.09,414.59,6-9-8
6,2,9,0,6,REROUTE,277.21,126.26,6-9
6,2,9,1,9,OK,277.21,280.86,6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,OK,372.50,223.97,3-2-6-9
7,3,9,2,9,OK,372.50,334.59,3-2-6-9
8,4,7,0,5,REROUTE,369.64,127.22,5-6-7
8,4,7,1,6,OK,369.64,251.15,5-6-7
8,4,7,2,7,OK,369.64,362.87,5-6-7
9,4,9,0,8,REROUTE,306.91,178.99,8-9
9,4,9,1,9,OK,306.91,304.69,8-9
10,5,9,0,8,REROUTE,277.56,147.86,8-9
